pregunta,respuesta_1,respuesta_2,respuesta_3,respuesta_4,respuesta_correcta
¿Cuál es el océano más grande del mundo?,Atlántico,Índico,Pacífico,Ártico,3
¿Quién pintó la Mona Lisa?,Leonardo da Vinci,Pablo Picasso,Claude Monet,Salvador Dalí,1
¿Cuál es el planeta más cercano al Sol?,Venus,Marte,Saturno,Mercurio,4
¿En qué continente está Egipto?,Asia,África,Europa,Oceanía,2
¿Cuál es el metal más utilizado para fabricar cables eléctricos?,Oro,Hierro,Cobre,Aluminio,3
¿Quién escribió 'Cien años de soledad'?,Mario Vargas Llosa,Gabriel García Márquez,Julio Cortázar,Pablo Neruda,2
¿Cuál es el idioma más hablado en el mundo?,Inglés,Chino mandarín,Español,Hindi,2
¿Qué gas respiramos para vivir?,Oxígeno,Hidrógeno,Nitrógeno,Helio,1
¿En qué país se encuentra la Torre Eiffel?,Italia,España,Francia,Alemania,3
¿Cuántos lados tiene un hexágono?,Cuatro,Cinco,Seis,Siete,3
¿Cuál es el animal terrestre más rápido?,León,Guepardo,Tigre,Lobo,2
¿En qué año llegó el hombre a la Luna?,1965,1969,1971,1975,2
¿Cuál es la capital de Japón?,Kioto,Seúl,Pekín,Tokio,4
¿Quién fue el primer presidente de Estados Unidos?,Thomas Jefferson,George Washington,Abraham Lincoln,John Adams,2
¿Dónde se celebraron los Juegos Olímpicos de 2016?,Londres,Tokio,Río de Janeiro,París,3
¿Cuál es el principal ingrediente del guacamole?,Papa,Palta,Zanahoria,Tomate,2
¿Qué instrumento tiene teclas blancas y negras?,Violín,Flauta,Guitarra,Piano,4
¿Cuál es la moneda oficial de Reino Unido?,Euro,Dólar,Libra esterlina,Franco,3
¿Qué animal pone huevos?,Perro,Ballena,Vaca,Águila,4
¿Cuál es el sistema operativo de código abierto más famoso?,Windows,MacOS,Linux,3
¿Quién descubrió la gravedad?,Galileo Galilei,Isaac Newton,Albert Einstein,Nikola Tesla,2
¿En qué país nació el filósofo Sócrates?,Italia,Egipto,Grecia,España,3
¿Cuál es el deporte más popular del mundo?,Béisbol,Baloncesto,Fútbol,Tenis,3
¿En qué continente está Brasil?,Europa,Asia,América,África,3
¿Cuántas patas tiene una araña?,Seis,Ocho,Diez,Doce,2
¿Qué día del año es Navidad?,24 de diciembre,25 de diciembre,31 de diciembre,1 de enero,2
